"nitrogen","appl","timeid","var","plot_id","date"
176,"Split","Early","Potenzial",40,"22.10.2020"
176,"Split","Late","Potenzial",42,"05.11.2020"
176,"Split","Late","Pionier",47,"05.11.2020"
176,"Split","Early","Patras",48,"22.10.2020"
176,"Split","Late","Patras",50,"05.11.2020"
176,"Split","Early","Capone",57,"22.10.2020"
176,"Split","Late","Capone",63,"05.11.2020"
176,"Split","Early","Pionier",64,"22.10.2020"
